Wage Gap by Metropolitan Area Detailed Table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gainesville, GA",23580,53,85%,80%,"$34,255","$40,484","$38,481","$48,332",-0.05,62,94%,91%,"$25,453","$26,978","$30,785","$33,863",-0.03,104,82%,73%,"$34,616","$42,000","$40,482","$55,413",-0.09,41,80%,71%,"$42,761","$53,190","$41,560","$58,491",-0.09
"Glens Falls, NY",24020,141,80%,72%,"$40,725","$50,906","$35,403","$49,256",-0.08,239,77%,77%,"$27,116","$35,157","$27,706","$35,864",0,73,84%,66%,"$43,803","$52,000","$35,403","$53,720",-0.18,137,74%,71%,"$42,615","$57,361","$38,481","$53,874",-0.03
"Goldsboro, NC",24140,66,84%,80%,"$32,580","$38,886","$33,402","$41,560",-0.03,134,89%,86%,"$24,503","$27,489","$27,706","$32,170",-0.03,67,85%,77%,"$36,503","$43,164","$35,403","$46,177",-0.08,15,85%,75%,"$36,503","$43,000","$34,479","$46,177",-0.10
"Grand Junction, CO",24300,190,77%,70%,"$38,589","$50,000","$33,863","$48,640",-0.08,214,82%,76%,"$29,000","$35,460","$24,628","$32,324",-0.06,219,74%,71%,"$38,848","$52,147","$38,481","$53,874",-0.03,175,72%,60%,"$42,760","$59,351","$35,403","$59,261",-0.12
"Grand Rapids-Wyoming, MI",24340,196,77%,68%,"$40,000","$52,147","$41,560","$61,570",-0.09,127,90%,82%,"$30,544","$34,092","$35,403","$43,099",-0.07,190,77%,69%,"$43,164","$55,996","$45,562","$66,188",-0.08,139,74%,61%,"$46,402","$62,588","$43,407","$70,805",-0.13
"Greensboro-High Point, NC",24660,89,83%,78%,"$36,690","$44,325","$38,481","$49,256",-0.05,220,81%,88%,"$25,899","$31,961","$32,324","$36,942",0.06,120,81%,74%,"$37,769","$46,600","$40,020","$53,874",-0.07,46,80%,66%,"$42,615","$53,268","$38,789","$58,491",-0.14
"Greenville, NC",24780,12,91%,82%,"$39,632","$43,680","$39,559","$48,486",-0.09,92,93%,96%,"$30,000","$32,373","$33,863","$35,403",0.03,16,90%,74%,"$43,779","$48,870","$40,020","$53,874",-0.15,93,76%,76%,"$40,725","$53,268","$44,638","$58,491",0.00
"Greenville-Anderson-Mauldin, SC",24860,179,78%,73%,"$37,288","$47,941","$36,942","$50,795",-0.05,81,93%,84%,"$29,202","$31,288","$32,170","$38,481",-0.1,163,79%,71%,"$40,000","$50,582","$38,481","$53,874",-0.08,192,70%,63%,"$40,725","$58,033","$37,712","$59,415",-0.07
"Gulfport-Biloxi-Pascagoula, MS",25060,160,79%,77%,"$35,000","$44,288","$35,403","$46,177",-0.02,235,78%,95%,"$23,883","$30,544","$29,246","$30,785",0.17,184,77%,77%,"$37,288","$48,261","$37,712","$49,256",-0.01,159,73%,69%,"$39,419","$53,955","$38,481","$55,413",-0.04
"Hanford-Corcoran, CA",25260,8,91%,80%,"$38,848","$42,615","$36,942","$46,177",-0.11,121,90%,96%,"$26,978","$30,000","$29,554","$30,785",0.06,98,83%,74%,"$39,600","$47,941","$43,099","$58,491",-0.09,1,104%,65%,"$50,906","$49,000","$39,713","$61,570",-0.39
"Harrisburg-Carlisle, PA",25420,154,80%,75%,"$43,164","$54,233","$43,099","$57,106",-0.04,177,86%,90%,"$31,961","$37,288","$34,479","$38,481",0.04,137,80%,75%,"$47,049","$58,595","$46,177","$61,570",-0.05,71,78%,68%,"$48,560","$62,576","$44,638","$65,418",-0.09
"Harrisonburg, VA",25500,42,85%,no data,"$37,288","$43,680",no data,no data,no data,154,88%,no data,"$27,500","$31,288",no data,no data,no data,34,87%,0%,"$40,000","$46,000",no data,no data,no data,166,73%,0%,"$38,000","$52,147",no data,no data,no data
"Hartford-West Hartford-East Hartford, CT",25540,84,83%,76%,"$55,000","$66,178","$52,334","$69,266",-0.08,119,90%,87%,"$37,546","$41,717","$40,020","$46,177",-0.03,75,84%,77%,"$58,272","$69,232","$55,721","$72,345",-0.07,75,77%,68%,"$61,791","$79,902","$52,642","$76,962",-0.09
"Hickory-Lenoir-Morganton, NC",25860,61,84%,76%,"$34,417","$41,006","$35,095","$46,177",-0.08,195,83%,83%,"$26,634","$31,961","$30,785","$36,942",0,72,84%,77%,"$35,934","$42,615","$36,942","$47,717",-0.07,129,75%,72%,"$35,634","$47,800","$35,403","$49,256",-0.03
"Hilton Head Island-Bluffton-Beaufort, SC",25940,35,86%,83%,"$35,157","$40,725","$36,942","$44,638",-0.04,51,95%,104%,"$26,073","$27,489","$30,477","$29,246",0.09,71,84%,74%,"$37,769","$44,742","$38,481","$52,334",-0.11,36,81%,65%,"$44,745","$55,399","$41,175","$63,109",-0.16
"Houma-Thibodaux, LA",26380,250,58%,54%,"$32,373","$56,000","$29,246","$53,874",-0.04,245,71%,57%,"$26,634","$37,769","$23,089","$40,636",-0.14,249,60%,53%,"$36,503","$61,087","$30,785","$58,491",-0.07,250,53%,60%,"$33,598","$63,922","$32,324","$53,874",0.07
"Houston-The Woodlands-Sugar Land, TX",26420,123,81%,74%,"$43,779","$53,955","$44,638","$60,031",-0.07,57,95%,91%,"$31,562","$33,374","$34,325","$37,558",-0.03,89,84%,71%,"$48,000","$57,361","$46,177","$64,648",-0.12,184,71%,62%,"$49,300","$69,232","$47,717","$76,962",-0.09
"Huntsville, AL",26620,235,72%,63%,"$41,473","$58,000","$38,481","$61,570",-0.09,202,83%,81%,"$26,978","$32,580","$28,707","$35,403",-0.02,233,72%,65%,"$42,000","$58,000","$42,329","$64,648",-0.07,237,64%,56%,"$52,203","$81,000","$43,099","$76,962",-0.08
"Indianapolis-Carmel-Anderson, IN",26900,177,78%,72%,"$42,000","$53,955","$43,099","$60,031",-0.06,96,92%,86%,"$32,373","$35,000","$36,942","$43,099",-0.07,147,80%,75%,"$45,815","$57,361","$46,177","$61,570",-0.05,188,71%,59%,"$45,811","$64,662","$43,869","$74,038",-0.12
"Iowa City, IA",26980,63,84%,no data,"$46,121","$55,000",no data,no data,no data,15,101%,no data,"$31,562","$31,288",no data,no data,no data,49,86%,0%,"$51,138","$59,660",no data,no data,no data,58,79%,0%,"$53,268","$67,791",no data,no data,no data
"Ithaca, NY",27060,77,83%,no data,"$48,870","$58,595",no data,no data,no data,53,95%,no data,"$32,783","$34,616",no data,no data,no data,153,80%,0%,"$50,906","$63,922",no data,no data,no data,134,74%,0%,"$57,015","$76,706",no data,no data,no data
"Jackson, MI",27100,112,82%,68%,"$39,603","$48,560","$41,560","$61,570",-0.14,187,85%,70%,"$26,634","$31,288","$30,785","$44,176",-0.15,156,79%,70%,"$41,405","$52,147","$43,099","$61,570",-0.09,61,78%,63%,"$41,717","$53,268","$43,407","$69,266",-0.16
"Jackson, MS",27140,134,80%,no data,"$37,288","$46,402",no data,no data,no data,124,90%,no data,"$27,429","$30,544",no data,no data,no data,157,79%,0%,"$38,848","$49,000",no data,no data,no data,133,74%,0%,"$41,717","$56,113",no data,no data,no data
"Jacksonville, FL",27260,145,80%,74%,"$40,000","$50,000","$38,481","$52,334",-0.06,72,94%,88%,"$30,000","$31,961","$32,324","$36,942",-0.06,113,82%,75%,"$42,615","$52,147","$41,560","$55,413",-0.07,157,73%,68%,"$44,745","$61,087","$42,329","$62,647",-0.06
"Janesville-Beloit, WI",27500,212,75%,63%,"$38,353","$50,906","$38,481","$61,570",-0.13,105,91%,70%,"$27,699","$30,400","$30,785","$44,176",-0.21,200,76%,66%,"$40,725","$53,268","$40,328","$61,570",-0.11,204,69%,54%,"$41,000","$59,351","$38,943","$71,729",-0.15
"Jefferson City, MO",27620,59,84%,no data,"$37,161","$44,186",no data,no data,no data,46,96%,no data,"$28,765","$30,000",no data,no data,no data,161,79%,0%,"$38,000","$48,000",no data,no data,no data,89,77%,0%,"$40,675","$52,942",no data,no data,no data
"Johnstown, PA",27780,180,78%,73%,"$36,503","$46,932","$33,863","$46,177",-0.04,131,89%,78%,"$31,288","$35,000","$26,321","$33,863",-0.12,231,73%,77%,"$37,670","$51,777","$35,403","$46,177",0.04,132,74%,68%,"$36,474","$49,000","$36,634","$53,874",-0.06
"Joplin, MO",27900,114,82%,68%,"$34,000","$41,717","$30,785","$44,946",-0.13,136,89%,73%,"$26,000","$29,202","$24,628","$33,863",-0.16,116,81%,73%,"$36,000","$44,319","$33,556","$46,177",-0.09,135,74%,63%,"$35,634","$47,941","$30,785","$49,256",-0.12
"Kalamazoo-Portage, MI",28020,173,78%,74%,"$40,000","$51,138","$43,099","$58,491",-0.05,162,87%,81%,"$27,949","$31,961","$32,324","$40,020",-0.07,149,80%,74%,"$43,386","$54,334","$45,408","$61,570",-0.06,226,67%,67%,"$42,965","$63,922","$46,177","$69,266",-0.01
"Kankakee, IL",28100,230,73%,66%,"$38,688","$52,942","$38,481","$58,491",-0.07,222,81%,74%,"$28,765","$35,634","$30,785","$41,560",-0.07,228,73%,61%,"$41,717","$57,015","$38,943","$63,571",-0.12,224,68%,67%,"$41,443","$61,087","$46,177","$69,266",-0.01
"Kansas City, MO-KS",28140,155,80%,72%,"$43,164","$54,233","$44,484","$61,570",-0.07,156,88%,85%,"$31,288","$35,634","$35,403","$41,560",-0.03,194,77%,72%,"$45,815","$59,660","$46,331","$64,648",-0.05,121,75%,67%,"$48,000","$64,141","$46,177","$69,266",-0.08
"Knoxville, TN",28940,135,80%,73%,"$37,288","$46,402","$35,403","$48,486",-0.07,83,93%,83%,"$28,507","$30,544","$29,246","$35,403",-0.11,130,80%,74%,"$39,605","$49,200","$38,481","$52,334",-0.07,185,71%,59%,"$40,725","$57,193","$36,480","$61,570",-0.12
"La Crosse-Onalaska, WI-MN",29100,72,83%,no data,"$40,000","$47,941",no data,no data,no data,200,83%,no data,"$31,288","$37,769",no data,no data,no data,40,86%,0%,"$43,164","$50,000",no data,no data,no data,106,75%,0%,"$41,006","$54,334",no data,no data,no data
"Lafayette, LA",29180,247,66%,62%,"$35,000","$53,268","$30,785","$49,564",-0.04,179,85%,67%,"$27,699","$32,435","$24,628","$36,942",-0.19,247,64%,58%,"$35,634","$56,113","$32,324","$55,413",-0.05,242,63%,59%,"$37,546","$60,069","$32,324","$55,105",-0.04
"Lafayette-West Lafayette, IN",29200,214,75%,no data,"$37,546","$50,000",no data,no data,no data,87,93%,no data,"$29,136","$31,288",no data,no data,no data,166,79%,0%,"$42,615","$53,980",no data,no data,no data,216,69%,0%,"$43,803","$63,922",no data,no data,no data
"Lake Havasu City-Kingman, AZ",29420,95,83%,74%,"$33,000","$40,000","$30,785","$41,560",-0.08,98,92%,78%,"$25,683","$28,000","$24,628","$31,555",-0.14,14,91%,74%,"$37,670","$41,600","$33,863","$45,870",-0.17,119,75%,69%,"$35,125","$46,932","$30,477","$44,022",-0.06
"Lakeland-Winter Haven, FL",29460,102,82%,75%,"$33,452","$40,725","$34,633","$46,177",-0.07,93,93%,86%,"$26,634","$28,765","$29,246","$33,863",-0.06,19,89%,73%,"$36,503","$41,006","$35,864","$49,256",-0.16,127,75%,67%,"$37,229","$49,855","$36,942","$55,413",-0.08
"Lancaster, PA",29540,219,75%,68%,"$39,632","$53,000","$38,481","$56,183",-0.06,226,80%,77%,"$30,544","$38,000","$32,016","$41,560",-0.03,232,73%,68%,"$41,717","$57,361","$41,560","$61,570",-0.05,173,72%,63%,"$42,615","$59,051","$38,481","$61,570",-0.10
"Lansing-East Lansing, MI",29620,52,85%,74%,"$43,164","$50,906","$46,177","$62,647",-0.11,203,83%,85%,"$26,978","$32,580","$33,863","$40,020",0.02,33,87%,75%,"$47,000","$53,955","$49,256","$66,034",-0.13,68,78%,67%,"$52,000","$66,748","$53,874","$80,041",-0.11
"Laredo, TX",29700,224,74%,75%,"$28,057","$37,769","$27,706","$36,942",0.01,192,84%,89%,"$21,086","$25,000","$24,628","$27,706",0.05,222,74%,78%,"$31,961","$43,164","$32,324","$41,560",0.04,232,66%,68%,"$28,159","$42,760","$24,936","$36,942",0.02
"Las Cruces, NM",29740,16,90%,77%,"$31,961","$35,500","$30,939","$40,020",-0.13,117,90%,82%,"$23,000","$25,453","$22,627","$27,706",-0.09,42,86%,79%,"$34,531","$40,000","$33,863","$43,099",-0.08,111,75%,61%,"$36,503","$48,560","$35,403","$58,491",-0.15
"Las Vegas-Henderson-Paradise, NV",29820,25,87%,79%,"$38,848","$44,675","$41,560","$52,334",-0.08,36,98%,88%,"$30,544","$31,288","$33,863","$38,481",-0.1,39,86%,79%,"$41,438","$48,000","$44,638","$56,183",-0.07,38,81%,69%,"$42,000","$52,147","$42,329","$61,570",-0.12
"Lawrence, KS",29940,201,76%,no data,"$39,707","$52,147",no data,no data,no data,78,94%,no data,"$25,899","$27,638",no data,no data,no data,151,80%,0%,"$44,745","$56,113",no data,no data,no data,22,83%,0%,"$52,000","$62,588",no data,no data,no data
"Lebanon, PA",30140,181,78%,74%,"$37,769","$48,560","$37,712","$51,257",-0.04,12,102%,80%,"$31,078","$30,544","$30,785","$38,481",-0.22,186,77%,71%,"$40,000","$51,797","$38,481","$53,874",-0.06,151,74%,71%,"$40,484","$54,978","$41,560","$58,491",-0.03
"Lima, OH",30620,209,76%,no data,"$35,460","$46,932",no data,no data,no data,215,82%,no data,"$26,073","$31,961",no data,no data,no data,220,74%,0%,"$37,288","$50,072",no data,no data,no data,218,68%,0%,"$37,546","$55,000",no data,no data,no data
"Lincoln, NE",30700,161,79%,77%,"$39,503","$50,000","$39,559","$51,565",-0.02,189,85%,89%,"$27,699","$32,580","$33,863","$38,019",0.04,165,79%,78%,"$42,085","$53,268","$44,176","$56,952",-0.01,83,77%,63%,"$44,745","$58,033","$40,020","$63,879",-0.14
"Little Rock-North Little Rock-Conway, AR",30780,37,86%,78%,"$39,927","$46,402","$38,173","$49,256",-0.09,112,91%,83%,"$27,699","$30,544","$29,246","$35,403",-0.08,78,84%,75%,"$42,000","$50,000","$40,020","$53,104",-0.09,37,81%,65%,"$45,510","$56,464","$40,020","$61,570",-0.16
"Los Angeles-Long Beach-Anaheim, CA",31080,6,92%,84%,"$45,815","$50,061","$47,871","$56,952",-0.07,18,100%,104%,"$32,373","$32,373","$36,942","$35,403",0.04,4,95%,85%,"$50,702","$53,268","$52,334","$61,570",-0.10,13,85%,71%,"$52,000","$61,087","$53,874","$75,423",-0.14
"Louisville/Jefferson County, KY-IN",31140,142,80%,71%,"$40,725","$50,906","$38,481","$53,874",-0.09,145,88%,84%,"$30,544","$34,531","$32,324","$38,481",-0.04,138,80%,72%,"$42,761","$53,268","$41,560","$57,722",-0.08,149,74%,63%,"$45,000","$61,087","$40,636","$64,648",-0.11
"Lubbock, TX",31180,207,76%,70%,"$34,092","$45,000","$32,324","$46,177",-0.06,231,80%,85%,"$24,435","$30,544","$26,013","$30,785",0.05,224,74%,76%,"$37,546","$50,906","$35,403","$46,331",0.03,169,73%,62%,"$39,927","$55,000","$38,019","$61,570",-0.11
"Lynchburg, VA",31340,156,79%,70%,"$37,288","$46,932","$34,633","$49,256",-0.09,106,91%,91%,"$29,830","$32,783","$30,785","$33,863",0,144,80%,68%,"$40,725","$50,906","$35,403","$52,334",-0.12,180,72%,60%,"$38,848","$54,233","$36,942","$61,724",-0.12
"Madera, CA",31460,115,81%,74%,"$34,730","$42,615","$38,481","$52,334",-0.08,133,89%,78%,"$26,978","$30,215","$26,321","$33,863",-0.12,221,74%,77%,"$35,610","$47,912","$41,560","$53,874",0.03,14,85%,63%,"$41,546","$48,870","$38,789","$61,570",-0.22
"Manchester-Nashua, NH",31700,217,75%,73%,"$46,932","$62,576","$44,638","$61,570",-0.03,161,88%,73%,"$35,000","$40,000","$33,863","$46,177",-0.14,211,75%,70%,"$49,007","$65,000","$47,101","$67,727",-0.06,182,71%,62%,"$53,955","$75,537","$44,946","$72,345",-0.09
"Mansfield, OH",31900,237,70%,66%,"$33,374","$47,481","$35,403","$53,874",-0.05,247,69%,68%,"$22,373","$32,644","$26,167","$38,481",-0.01,212,75%,68%,"$38,353","$50,906","$37,404","$55,105",-0.07,177,72%,55%,"$36,503","$50,906","$35,711","$64,648",-0.16
"McAllen-Edinburg-Mission, TX",32580,109,82%,92%,"$29,830","$36,503","$28,168","$30,785",0.10,225,80%,96%,"$21,700","$26,978","$23,089","$24,012",0.16,88,84%,83%,"$34,092","$40,725","$30,785","$36,942",0.00,150,74%,83%,"$30,000","$40,725","$30,785","$36,942",0.10
"Medford, OR",32780,150,80%,79%,"$36,652","$45,862","$36,942","$46,793",-0.01,165,87%,82%,"$26,634","$30,544","$27,706","$33,863",-0.05,112,82%,75%,"$41,006","$50,072","$38,481","$51,565",-0.07,108,75%,70%,"$39,927","$52,942","$40,020","$57,106",-0.05
"Memphis, TN-MS-AR",32820,86,83%,74%,"$39,632","$47,800","$40,020","$53,874",-0.09,102,92%,84%,"$28,057","$30,645","$32,324","$38,481",-0.08,76,84%,74%,"$41,717","$49,639","$43,099","$58,491",-0.10,107,75%,64%,"$44,547","$59,051","$41,560","$64,648",-0.11
"Merced, CA",32900,19,89%,75%,"$35,634","$40,000","$36,942","$49,256",-0.14,39,97%,82%,"$27,000","$27,699","$27,245","$33,248",-0.16,3,96%,74%,"$40,725","$42,615","$38,481","$51,873",-0.21,24,83%,75%,"$38,000","$46,000","$46,177","$61,570",-0.08
"Miami-Fort Lauderdale-West Palm Beach, FL",33100,18,89%,81%,"$38,000","$42,615","$40,790","$50,333",-0.08,23,99%,92%,"$29,830","$30,000","$33,863","$36,942",-0.08,15,91%,81%,"$40,725","$45,000","$44,638","$55,413",-0.10,26,82%,77%,"$41,000","$50,000","$41,252","$53,874",-0.05
"Michigan City-La Porte, IN",33140,240,69%,66%,"$34,417","$49,888","$35,403","$53,874",-0.03,194,83%,78%,"$25,000","$30,000","$29,861","$38,481",-0.06,241,69%,64%,"$36,503","$53,268","$35,557","$55,413",-0.04,213,69%,59%,"$37,769","$55,034","$38,481","$65,726",-0.10
"Midland, TX",33260,246,66%,67%,"$42,760","$64,987","$36,942","$55,413",0.01,178,85%,67%,"$36,435","$42,615","$24,628","$36,942",-0.19,246,65%,67%,"$45,815","$70,142","$40,020","$60,031",0.01,234,65%,54%,"$46,932","$72,000","$39,251","$72,345",-0.11
"Milwaukee-Waukesha-West Allis, WI",33340,133,80%,71%,"$45,000","$55,996","$43,715","$61,570",-0.09,139,89%,85%,"$33,374","$37,546","$35,403","$41,868",-0.04,90,84%,71%,"$49,888","$59,660","$46,177","$65,418",-0.13,80,77%,62%,"$50,000","$64,746","$45,100","$72,345",-0.15
"Minneapolis-St. Paul-Bloomington, MN-WI",33460,119,81%,76%,"$50,582","$62,105","$49,102","$64,648",-0.05,118,90%,87%,"$36,503","$40,484","$40,020","$46,177",-0.03,93,83%,78%,"$54,334","$65,160","$53,720","$69,266",-0.06,101,76%,64%,"$55,276","$73,006","$49,256","$76,962",-0.12
"Mobile, AL",33660,233,72%,66%,"$34,417","$47,975","$32,324","$49,256",-0.06,236,78%,71%,"$23,438","$30,000","$26,167","$36,942",-0.07,235,72%,65%,"$37,546","$52,000","$35,249","$53,874",-0.07,238,64%,56%,"$35,634","$55,399","$34,479","$61,570",-0.08
"Modesto, CA",33700,143,80%,75%,"$40,725","$50,906","$41,560","$55,413",-0.05,37,98%,83%,"$30,544","$31,288","$30,785","$37,250",-0.15,142,80%,72%,"$42,615","$53,268","$43,099","$60,031",-0.08,92,77%,69%,"$46,800","$61,087","$46,947","$68,189",-0.08
"Monroe, LA",33740,241,69%,74%,"$33,000","$47,941","$34,171","$46,177",0.05,32,98%,95%,"$27,000","$27,489","$30,785","$32,324",-0.03,240,70%,74%,"$35,634","$50,906","$35,403","$47,717",0.04,248,56%,58%,"$34,300","$61,087","$35,403","$61,570",0.01
"Monroe, MI",33780,215,75%,59%,"$44,288","$59,000","$41,560","$70,344",-0.16,230,80%,59%,"$28,507","$35,634","$30,785","$52,334",-0.21,230,73%,59%,"$46,000","$63,123","$45,408","$76,962",-0.14,199,69%,62%,"$48,581","$70,000","$47,717","$76,962",-0.07
"Montgomery, AL",33860,146,80%,75%,"$36,652","$45,815","$36,942","$49,256",-0.05,185,85%,85%,"$24,503","$28,765","$28,938","$33,863",0,202,76%,71%,"$39,707","$52,000","$38,481","$53,874",-0.05,163,73%,66%,"$41,717","$57,193","$42,329","$64,033",-0.07
"Morgantown, WV",34060,202,76%,73%,"$39,419","$51,797","$34,941","$47,717",-0.03,2,114%,89%,"$32,373","$28,507","$24,628","$27,706",-0.25,226,74%,70%,"$42,085","$57,193","$35,403","$50,795",-0.04,228,67%,73%,"$43,164","$64,662","$42,637","$58,491",0.06
"Muncie, IN",34620,46,85%,64%,"$36,652","$43,000","$34,633","$53,874",-0.21,137,89%,65%,"$25,453","$28,609","$26,167","$40,328",-0.24,164,79%,66%,"$39,419","$49,859","$35,403","$53,874",-0.13,95,76%,56%,"$39,700","$52,147","$39,097","$69,266",-0.20
"Muskegon, MI",34740,195,77%,69%,"$36,000","$46,932","$38,481","$55,413",-0.07,223,81%,76%,"$27,489","$34,092","$30,477","$40,020",-0.04,101,83%,66%,"$39,632","$48,000","$38,481","$58,491",-0.17,178,72%,71%,"$39,632","$55,276","$46,177","$64,648",0.00
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",34820,38,86%,no data,"$35,000","$40,725",no data,no data,no data,44,97%,no data,"$26,073","$26,978",no data,no data,no data,69,84%,0%,"$36,000","$42,615",no data,no data,no data,96,76%,0%,"$38,688","$50,906",no data,no data,no data
"Napa, CA",34900,1,98%,82%,"$53,268","$54,334","$50,333","$61,570",-0.16,49,95%,88%,"$35,460","$37,288","$33,863","$38,481",-0.07,1,98%,83%,"$55,000","$56,000","$53,874","$64,648",-0.15,2,94%,65%,"$63,922","$67,791","$55,413","$84,659",-0.29
"Naples-Immokalee-Marco Island, FL",34940,2,95%,84%,"$38,693","$40,725","$40,020","$47,717",-0.11,5,108%,88%,"$29,830","$27,699","$31,093","$35,403",-0.2,5,95%,82%,"$39,707","$41,717","$43,099","$52,334",-0.13,10,87%,67%,"$45,811","$52,942","$40,944","$61,570",-0.20
"Nashville-Davidson--Murfreesboro--Franklin, TN",34980,118,81%,75%,"$40,725","$50,000","$40,636","$53,874",-0.06,41,97%,88%,"$31,961","$33,000","$33,863","$38,481",-0.09,126,81%,73%,"$43,000","$53,268","$44,484","$60,800",-0.08,90,77%,64%,"$45,815","$59,660","$41,560","$64,648",-0.13
"New Haven-Milford, CT",35300,56,84%,76%,"$52,876","$62,588","$49,256","$64,648",-0.08,63,94%,83%,"$35,634","$37,769","$38,481","$46,177",-0.11,68,84%,76%,"$54,000","$63,922","$52,334","$69,266",-0.09,57,79%,68%,"$59,051","$75,091","$52,334","$76,962",-0.11
"New Orleans-Metairie, LA",35380,169,78%,71%,"$39,927","$50,906","$36,942","$52,334",-0.08,157,88%,78%,"$28,057","$31,961","$27,706","$35,403",-0.1,182,77%,71%,"$41,717","$53,955","$39,097","$55,413",-0.07,190,71%,63%,"$43,164","$61,087","$38,481","$61,570",-0.08
"New York-Newark-Jersey City, NY-NJ-PA",35620,50,85%,79%,"$54,233","$63,922","$52,488","$66,188",-0.06,8,102%,96%,"$41,717","$40,725","$44,330","$46,177",-0.06,35,87%,77%,"$60,000","$69,249","$55,413","$72,345",-0.10,85,77%,70%,"$57,361","$74,458","$53,874","$76,962",-0.07
"Niles-Benton Harbor, MI",35660,175,78%,67%,"$38,200","$48,870","$36,788","$55,105",-0.11,244,74%,76%,"$26,073","$35,043","$29,246","$38,481",0.02,155,79%,66%,"$39,707","$50,000","$38,481","$58,491",-0.14,102,76%,62%,"$42,615","$56,319","$40,482","$65,418",-0.14
"North Port-Sarasota-Bradenton, FL",35840,87,83%,78%,"$37,963","$45,815","$38,481","$49,256",-0.05,115,91%,91%,"$26,073","$28,785","$30,785","$33,863",0,85,84%,77%,"$39,299","$46,932","$41,252","$53,874",-0.07,44,80%,71%,"$43,282","$53,955","$38,481","$53,874",-0.09
"Norwich-New London, CT",35980,204,76%,75%,"$48,560","$63,922","$46,177","$61,570",-0.01,31,98%,96%,"$35,634","$36,222","$35,403","$36,942",-0.03,207,76%,70%,"$50,178","$66,053","$47,717","$67,727",-0.06,221,68%,68%,"$53,955","$79,263","$51,488","$76,039",0.00
"Ocala, FL",36100,17,90%,79%,"$34,092","$38,000","$33,402","$42,329",-0.11,143,89%,90%,"$26,471","$29,830","$27,706","$30,785",0.01,21,89%,79%,"$36,474","$41,000","$35,403","$44,792",-0.10,16,85%,77%,"$37,288","$44,000","$35,403","$46,177",-0.08
"Ocean City, NJ",36140,47,85%,74%,"$49,639","$58,404","$43,407","$58,491",-0.11,181,85%,95%,"$31,288","$36,652","$30,785","$32,324",0.1,9,92%,75%,"$54,000","$58,404","$46,177","$61,570",-0.17,6,87%,78%,"$59,051","$67,791","$50,179","$64,648",-0.09
"Odessa, TX",36220,248,63%,72%,"$34,731","$55,000","$32,324","$44,638",0.09,248,68%,68%,"$26,634","$39,214","$23,089","$33,863",0,248,63%,73%,"$40,000","$63,922","$33,863","$46,177",0.11,245,60%,75%,"$36,503","$61,087","$36,942","$49,256",0.15
"Ogden-Clearfield, UT",36260,238,70%,64%,"$39,096","$56,113","$38,481","$60,031",-0.06,101,92%,82%,"$29,675","$32,373","$30,785","$37,712",-0.1,243,68%,64%,"$41,762","$61,791","$41,560","$64,648",-0.03,240,63%,62%,"$44,400","$70,000","$43,253","$70,190",-0.02
"Oklahoma City, OK",36420,210,76%,76%,"$37,769","$50,000","$37,250","$49,256",0.00,216,81%,84%,"$27,116","$33,300","$27,860","$33,248",0.02,197,77%,74%,"$40,000","$52,147","$40,020","$53,874",-0.02,172,72%,66%,"$43,164","$59,660","$40,020","$60,800",-0.07
